rumorID	evidenceID	rumorText	evidenceText	stance	label
1261054190085984257	1064228935691657216	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	"عظمة القيادة في صورة
نائب رئيس الجمهورية الفريق علي محسن الاحمر @alimohsnalahmar  يقبل راس العميد مفرح بحيبح قائد محور بيحان قائد اللواء 26 مشاه الذي قدم اربعة من ابنائه شهداء في سبيل استعادة الدولة. https://t.co/YrZqap24G6"	disagree	False
1261054190085984257	1064133830834118656	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	"نائب رئيس الجمهورية الفريق الركن علي محسن الأحمر نائب يقبل رأس المناضل الكبير اللواء مفرح بحيبح الذي قدم اربعة من أبنائه في معركة استعادة الدولة، يستحق قبله على جبينة من كل مواطن يمني حر .
#اللواء_مفرح_بحيبح https://t.co/digMLTIpok"	disagree	False
1261054190085984257	1063817620456128512	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	نائب الرئيس اليمني: خيارنا السلام الذي يستمر الحوثيون في إهدار فرصه المتكررة، وموقف الشرعية ثابت بقيادة رئيس الجمهورية نحو السلام الدائم المبني على المرجعيات الثلاث https://t.co/ekIVKoMxop	unrelated	False
1473241193765036034	1473253268293918734	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن https://t.co/Uiev2Yw9Hs	"⚠️خبر كاذب!⚠️
لا يوجد مقر لبعثة الأمم المتحدة للدعم في ليبيا في عين زارا. 
كما أن الأمم المتحدة لم تخلي أي مقر لها في ليبيا... 
⚠️احذروا الأخبار الكاذبة والملفقة⚠️ https://t.co/FNGbhen04s"	disagree	False
1473241193765036034	1473310622108499980	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن https://t.co/Uiev2Yw9Hs	"تعرب بعثة الأمم المتحدة للدعم في ليبيا عن قلقها إزاء التطورات الأمنية الجارية في طرابلس. تخلق هذه التحركات للقوات التابعة لمجموعات مختلفة حالة من التوتر، وتعزز خطر الصدامات التي قد تتحول إلى صراع. 
👇👇👇
https://t.co/rIoI4UPhnv https://t.co/bs2UuAjGOW"	unrelated	False
1341109399008456711	1342929115486285840	"#الاتحاد_الرايد_Iلدوري عاااااااجل توقف إعطاء لقاح كورونا بشكل عاجل في المملكة العربية السعودية لا حول ولا قوة الال بالله وفاة خمسة أشخاص بعد أخذ اللقاح

https://t.co/rVZObHjh0C"	"فيديو | متحدث الصحة لـ #الإخبارية: ارتفاع عدد المطعمين بلقاح #كورونا ثلاث أضعاف المعدل اليومي يعكس حجم ثقة المجتمع بالقيادة 

#الإخبارية https://t.co/SMyM0ye0SJ"	disagree	False
1261271962783027201	1258417556131581953	"وزير الصحه الأردني يفجرها الوضع خطير ! السر الغامض وراء #فيروس_كورونا 
 https://t.co/3Qj60NzPVI"	"تسجيل ١١ حالة بعد إجراء الفحوصات للمخالطين. التزموا بالتعليمات لتقوم الفرق بعملها لكشف الحالات و منع انتشارها. 

حماكم الله"	unrelated	False
1341109399008456711	1341041068725432325	"#الاتحاد_الرايد_Iلدوري عاااااااجل توقف إعطاء لقاح كورونا بشكل عاجل في المملكة العربية السعودية لا حول ولا قوة الال بالله وفاة خمسة أشخاص بعد أخذ اللقاح

https://t.co/rVZObHjh0C"	"فيديو | د. هادي القحطاني: مهما بلغ تحور فيروس #كورونا .. الإجراءات الاحترازية هي خط الدفاع الأول 

#الإخبارية https://t.co/HdRaHYW1uX"	unrelated	False
1489928498772914181	1490215448624840706	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	"توضيح وتصحيح عما يتم تداوله على منصات التواصل الاجتماعي:
ما حدث هو أن المجلس الاستشاري لوزير العدل الياباني قدم مقترح تعديل القانون المدني ذلك في يوم ١ فبراير والذي تضمن إلغاء منع المطلقات من الزواج مجددًا قبل انقضاء ١٠٠ يوم على طلاقهن على عكس ما تم تداوله تمامًا. https://t.co/d4a96sJznK"	disagree	False
1489928498772914181	1490768706972102660	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	"#خرافات_عن_اليابان 
هو مجرد اقتراح لم ""يسن"" بعد، لكن الحقيقة هي أن الاقتراح يدعوا إلى إلغاء حظر مدة ال 100 يوم على الزواج مرة أخرى للمرأة التي يقرها القانون ""الحالي"" 😂 المستمر منذ أكثر من قرن🤷🏻‍♂️ أي أنه سيلغي ما شبهه البعض بعدة الطلاق🤭 وسرح البعض بخياله وبدأوا بعقد المقارنات😬 https://t.co/JZypgvYI15"	disagree	False
1434605766313455621	1433336182579081221	"# عاجل 
الانتربول الدولي 
القبض على هشام عبدالله الممثل الهارب  في إنتظار ترحيلة الي  مصـــــر 
عقبال الباقي"	"اين يجد الشاب العربي 
السعادة والامان والحرية فى العالم العربي🙈
اعتقد المكان الوحيده اللى هيلاقوا فيه الحاجات دى ياسارة هو القبر 
فالاسهل نسال متي يجد الشاب العربي
السعاده والامان والحرية؟
حين يتوقف الغرب عن دعم الديكتاتوريه
والاستبداد ف بلادنا العربية https://t.co/MUVEM8pVkJ"	unrelated	False
1489928498772914181	1489809933445087234	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	سياسي / سمو ولي العهد يجري اتصالاً هاتفياً برئيس الوزراء الياباني https://t.co/iPjNYAYVps	unrelated	False
1489928498772914181	1489809713663512577	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	سمو وزير الخارجية يتلقى اتصالاً هاتفياً من وزير خارجية اليابان https://t.co/8x1tBINC4d	unrelated	False
1383927688491003909	1383355838115418112	انباء عن وفاه يوسف القرضاوي عراب الأرهاب الاخواني بفيروس كورونا	تبين إصابة سماحة الشيخ القرضاوي بفيروس (كورونا)، وهو بحالة جيدة والحمد لله، ويتلقى الرعاية الصحية، وهو يطمئن محبيه، ويسألكم الدعاء له بالشفاء والعافية.	disagree	False
