	rumor_id	evidence_id	rumor_text	evidence_text	stance	rumor_label	s1	s2
0	1489928498772914181	1490215448624840706	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	"توضيح وتصحيح عما يتم تداوله على منصات التواصل الاجتماعي:
ما حدث هو أن المجلس الاستشاري لوزير العدل الياباني قدم مقترح تعديل القانون المدني ذلك في يوم ١ فبراير والذي تضمن إلغاء منع المطلقات من الزواج مجددًا قبل انقضاء ١٠٠ يوم على طلاقهن على عكس ما تم تداوله تمامًا. https://t.co/d4a96sJznK"	disagree	False	اليابان تقر قانونا شبيها ب عدة الطلاق في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب ما أكتشفوه الآن نزله الله قبل 1400 سنة والمطلقات يتربصن بأنفسهن ثلاثة قروء صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام الحمد لله	توضيح وتصحيح عما يتم تداوله على منصات التواصل الاجتماعي ما حدث هو أن المجلس الاستشاري لوزير العدل الياباني قدم مقترح تعديل القانون المدني ذلك في يوم ١ فبراير والذي تضمن إلغاء منع المطلقات من الزواج مجددا قبل انقضاء ١٠٠ يوم على طلاقهن على عكس ما تم تداوله تماما
1	1489928498772914181	1490768706972102660	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	"#خرافات_عن_اليابان 
هو مجرد اقتراح لم ""يسن"" بعد، لكن الحقيقة هي أن الاقتراح يدعوا إلى إلغاء حظر مدة ال 100 يوم على الزواج مرة أخرى للمرأة التي يقرها القانون ""الحالي"" 😂 المستمر منذ أكثر من قرن🤷🏻‍♂️ أي أنه سيلغي ما شبهه البعض بعدة الطلاق🤭 وسرح البعض بخياله وبدأوا بعقد المقارنات😬 https://t.co/JZypgvYI15"	disagree	False	اليابان تقر قانونا شبيها ب عدة الطلاق في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب ما أكتشفوه الآن نزله الله قبل 1400 سنة والمطلقات يتربصن بأنفسهن ثلاثة قروء صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام الحمد لله	خرافات عن اليابان هو مجرد اقتراح لم يسن بعد لكن الحقيقة هي أن الاقتراح يدعوا إلى إلغاء حظر مدة ال 100 يوم على الزواج مرة أخرى للمرأة التي يقرها القانون الحالي المستمر منذ أكثر من قرن أي أنه سيلغي ما شبهه البعض بعدة الطلاق وسرح البعض بخياله وبدأوا بعقد المقارنات
2	1489928498772914181	1489809933445087234	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	سياسي / سمو ولي العهد يجري اتصالاً هاتفياً برئيس الوزراء الياباني https://t.co/iPjNYAYVps	unrelated	False	اليابان تقر قانونا شبيها ب عدة الطلاق في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب ما أكتشفوه الآن نزله الله قبل 1400 سنة والمطلقات يتربصن بأنفسهن ثلاثة قروء صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام الحمد لله	سياسي سمو ولي العهد يجري اتصالا هاتفيا برئيس الوزراء الياباني
3	1489928498772914181	1489809713663512577	"#اليابان تقر قانونا شبيها بـ”عدة الطلاق” في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب  ما أكتشفوه الآن نزله الله قبل 1400 سنة ""والمطلقات يتربصن بأنفسهن ثلاثة قروء"" صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام... 
#الحمد_لله"	سمو وزير الخارجية يتلقى اتصالاً هاتفياً من وزير خارجية اليابان https://t.co/8x1tBINC4d	unrelated	False	اليابان تقر قانونا شبيها ب عدة الطلاق في الإسلام سيمنع النساء من الزواج مباشرة 100 يوم بعد انفصالهن حفاظا على الأنساب ما أكتشفوه الآن نزله الله قبل 1400 سنة والمطلقات يتربصن بأنفسهن ثلاثة قروء صدق الله العظيم فترة العدة عند الاسلام الحمد لله على نعمة الإسلام الحمد لله	سمو وزير الخارجية يتلقى اتصالا هاتفيا من وزير خارجية اليابان
4	1293820374652772352	1294342244909146113	"#خبر 
اغتيال #امير_القريشي بعد تعرضه لأطلاق نار في أحد شوارع بريطانيا الذي يقيم بها. https://t.co/fdPwyvOohW"	"الشيخ أمير القريشي: يرد على الضجة المفتعلة من أبناء عائشة والعمائم الخونة في خبر اغتياله ومقتله

https://t.co/NLmC4DLa0c"	disagree	False	خبر اغتيال امير القريشي بعد تعرضه لأطلاق نار في أحد شوارع بريطانيا الذي يقيم بها	الشيخ أمير القريشي يرد على الضجة المفتعلة من أبناء عائشة والعمائم الخونة في خبر اغتياله ومقتله
5	1293820374652772352	1290965514198626305	"#خبر 
اغتيال #امير_القريشي بعد تعرضه لأطلاق نار في أحد شوارع بريطانيا الذي يقيم بها. https://t.co/fdPwyvOohW"	"إعلان تشيع جماعي على يد الشيخ القريشي لعائلة أبي يوسف من الكويت وشهدوا على أبي بكر وعمر وعائشة في النار 

https://t.co/pGtKYB9KZB"	unrelated	False	خبر اغتيال امير القريشي بعد تعرضه لأطلاق نار في أحد شوارع بريطانيا الذي يقيم بها	إعلان تشيع جماعي على يد الشيخ القريشي لعائلة أبي يوسف من الكويت وشهدوا على أبي بكر وعمر وعائشة في النار
6	1552363208668856327	1552312954267238402	مصر..ابو ظبي الرياضة تحصل علي حقوق بث مباريات الاهلي في الدوري المصري الموسم القادم https://t.co/k5huBTOEJD	توضيح : تنفي قنوات ابوظبي الرياضية ما يتردد حول حصولها على حقوق مباريات فريق النادي الاهلي في الدوري المصري.. وتؤكد انها لم تدخل في اي مفاوضات بهذا الخصوص إطلاقًا.	disagree	False	مصر ابو ظبي الرياضة تحصل علي حقوق بث مباريات الاهلي في الدوري المصري الموسم القادم	توضيح تنفي قنوات ابوظبي الرياضية ما يتردد حول حصولها على حقوق مباريات فريق النادي الاهلي في الدوري المصري وتؤكد انها لم تدخل في اي مفاوضات بهذا الخصوص إطلاقا
7	1546109386631909378	1545865487485124611	الجزائر تدين الإنقلاب الشعبي على رئيس سيريلانكا و تؤكد أن التغيير يأتي بالانتخابات. https://t.co/6q0Xzkakr8	✅ تهاني وزير الشؤون الخارجية والجالية الوطنية بالخارج، السيد @Lamamra_dz رمطان لعمامرة، بمناسبة عيد الأضحى المبارك. https://t.co/r73a4XIcEt	unrelated	False	الجزائر تدين الإنقلاب الشعبي على رئيس سيريلانكا و تؤكد أن التغيير يأتي بالانتخابات	تهاني وزير الشؤون الخارجية والجالية الوطنية بالخارج السيد رمطان لعمامرة بمناسبة عيد الأضحى المبارك
8	1546109386631909378	1544644064527654919	الجزائر تدين الإنقلاب الشعبي على رئيس سيريلانكا و تؤكد أن التغيير يأتي بالانتخابات. https://t.co/6q0Xzkakr8	استقبل اليوم وزير الشؤون الخارجية @Lamamra_dz الأمين العام لمنظمة التعاون الإسلامي، السيد حسين ابراهيم طه، الذي يقوم بزيارة إلى الجزائر لحضور احتفالات الذكرى ال60 لعيد الاستقلال. أشاد الأمين العام بالدور الذي تضطلع به الجزائر بصفتها عضوا مؤسسا فاعلا وملتزما بمبادئ وأهداف المنظمة. https://t.co/mS50DOPviJ	unrelated	False	الجزائر تدين الإنقلاب الشعبي على رئيس سيريلانكا و تؤكد أن التغيير يأتي بالانتخابات	استقبل اليوم وزير الشؤون الخارجية الأمين العام لمنظمة التعاون الإسلامي السيد حسين ابراهيم طه الذي يقوم بزيارة إلى الجزائر لحضور احتفالات الذكرى ال60 لعيد الاستقلال أشاد الأمين العام بالدور الذي تضطلع به الجزائر بصفتها عضوا مؤسسا فاعلا وملتزما بمبادئ وأهداف المنظمة
9	1552363208668856327	1552264093658058753	مصر..ابو ظبي الرياضة تحصل علي حقوق بث مباريات الاهلي في الدوري المصري الموسم القادم https://t.co/k5huBTOEJD	"نابولي يتعاقد مع المدافع الكوري الجنوبي كيم مين جاي

أعلن نادي نابولي الإيطالي عن تعاقده مع المدافع الدولي كيم مين جاي قادماً من فنربغشة التركي

وحسب العديد من وسائل اعلام محلية قاربت الصفقة حوالي 20 مليون يورو https://t.co/V3kW3MuGlp"	unrelated	False	مصر ابو ظبي الرياضة تحصل علي حقوق بث مباريات الاهلي في الدوري المصري الموسم القادم	نابولي يتعاقد مع المدافع الكوري الجنوبي كيم مين جاي أعلن نادي نابولي الإيطالي عن تعاقده مع المدافع الدولي كيم مين جاي قادما من فنربغشة التركي وحسب العديد من وسائل اعلام محلية قاربت الصفقة حوالي 20 مليون يورو
