	rumor_id	evidence_id	rumor_text	evidence_text	s1	s2	stance	rumor_label
0	1261054190085984257	1064228935691657216	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	"عظمة القيادة في صورة
نائب رئيس الجمهورية الفريق علي محسن الاحمر @alimohsnalahmar  يقبل راس العميد مفرح بحيبح قائد محور بيحان قائد اللواء 26 مشاه الذي قدم اربعة من ابنائه شهداء في سبيل استعادة الدولة. https://t.co/YrZqap24G6"	علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك بس عيدروس عنيد الله المستعان	عظمة القيادة في صورة نائب رئيس الجمهورية الفريق علي محسن الاحمر يقبل راس العميد مفرح بحيبح قائد محور بيحان قائد اللواء 26 مشاه الذي قدم اربعة من ابنائه شهداء في سبيل استعادة الدولة	disagree	False
1	1261054190085984257	1064133830834118656	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	"نائب رئيس الجمهورية الفريق الركن علي محسن الأحمر نائب يقبل رأس المناضل الكبير اللواء مفرح بحيبح الذي قدم اربعة من أبنائه في معركة استعادة الدولة، يستحق قبله على جبينة من كل مواطن يمني حر .
#اللواء_مفرح_بحيبح https://t.co/digMLTIpok"	علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك بس عيدروس عنيد الله المستعان	نائب رئيس الجمهورية الفريق الركن علي محسن الأحمر نائب يقبل رأس المناضل الكبير اللواء مفرح بحيبح الذي قدم اربعة من أبنائه في معركة استعادة الدولة يستحق قبله على جبينة من كل مواطن يمني حر اللواء مفرح بحيبح	disagree	False
2	1261054190085984257	1063817620456128512	"علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك
بس عيدروس عنيد
الله المستعان https://t.co/gZcDwcWXZF"	نائب الرئيس اليمني: خيارنا السلام الذي يستمر الحوثيون في إهدار فرصه المتكررة، وموقف الشرعية ثابت بقيادة رئيس الجمهورية نحو السلام الدائم المبني على المرجعيات الثلاث https://t.co/ekIVKoMxop	علي محسن يبوس راس الزبيدي يقول له لاتتقدم نحو شبوة اناء افداء لك بس عيدروس عنيد الله المستعان	نائب الرئيس اليمني خيارنا السلام الذي يستمر الحوثيون في إهدار فرصه المتكررة وموقف الشرعية ثابت بقيادة رئيس الجمهورية نحو السلام الدائم المبني على المرجعيات الثلاث	other	False
3	1383927688491003909	1383355838115418112	انباء عن وفاه يوسف القرضاوي عراب الأرهاب الاخواني بفيروس كورونا	تبين إصابة سماحة الشيخ القرضاوي بفيروس (كورونا)، وهو بحالة جيدة والحمد لله، ويتلقى الرعاية الصحية، وهو يطمئن محبيه، ويسألكم الدعاء له بالشفاء والعافية.	انباء عن وفاه يوسف القرضاوي عراب الأرهاب الاخواني بفيروس كورونا	تبين إصابة سماحة الشيخ القرضاوي بفيروس كورونا وهو بحالة جيدة والحمد لله ويتلقى الرعاية الصحية وهو يطمئن محبيه ويسألكم الدعاء له بالشفاء والعافية	disagree	False
4	1383927688491003909	1383296726052720645	انباء عن وفاه يوسف القرضاوي عراب الأرهاب الاخواني بفيروس كورونا	السحور ليس شرطًا في صحة الصيام، وإنما هو سنة عن النبي صلى الله عليه وسلم، فعلها وأمر بها، وقال: «تسحروا، فإن في السحور بركة». (https://t.co/K6bf4hKmk2) #فتاوى_القرضاوي #فتاوى_رمضان https://t.co/P0XNvlSy7r	انباء عن وفاه يوسف القرضاوي عراب الأرهاب الاخواني بفيروس كورونا	السحور ليس شرطا في صحة الصيام وإنما هو سنة عن النبي صلى الله عليه وسلم فعلها وأمر بها وقال تسحروا فإن في السحور بركة فتاوى القرضاوي فتاوى رمضان	other	False
5	1282988186021527552	1285846911090593794	"لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات .

لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده"	"#إعلان
1- تعلن المديرية العامة للأمن العام عن السماح بالدخول عبر كافة الحدود البرية لكل من:
- الحائزين على إقامات صالحة وأفراد عائلاتهم.
- الراغبين بالمرور ترانزيت من سوريا عبر لبنان للسفر عبر المطار شرط حيازتهم على تذكرة سفر وحضورهم قبل 24 ساعة كحد أقصى من موعد الطائرة"	لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده	إعلان 1 تعلن المديرية العامة للأمن العام عن السماح بالدخول عبر كافة الحدود البرية لكل من الحائزين على إقامات صالحة وأفراد عائلاتهم الراغبين بالمرور ترانزيت من سوريا عبر لبنان للسفر عبر المطار شرط حيازتهم على تذكرة سفر وحضورهم قبل 24 ساعة كحد أقصى من موعد الطائرة	disagree	False
6	1282988186021527552	1282954132173860864	"لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات .

لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده"	"#بيان
تُذكّر المديرية العامة للأمن العام المواطنين والمؤسسات أنه بإمكانهم الإبلاغ عن أي تلاعب بسعر صرف الدولار الأميركي الذي  يحدد يومياً من قبل نقابة الصرافين"	لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده	بيان تذكر المديرية العامة للأمن العام المواطنين والمؤسسات أنه بإمكانهم الإبلاغ عن أي تلاعب بسعر صرف الدولار الأميركي الذي يحدد يوميا من قبل نقابة الصرافين	other	False
7	1282988186021527552	1281510516607901696	"لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات .

لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده"	"#اعلان
1-استناداً الى مقررات مجلس الوزراء بتاريخ 31/3/2020 المتعلقة بعودة المغتربين اللبنانيين من الخارج، سيصار الى فتح الحدود البرية مع سوريا عبر مركزي المصنع والعبودية الحدوديين بتاريخي 14/7/2020 و 16/7/2020"	لبنان تعلن انه لن يدخلها مواطن سوري بعد اليوم بدون فيزا ولن يتم التعامل بعد اليوم في الهويات لبنان تفرض على كل مواطن سوري مغترب يدخل اراضيها بسبب السفر لسوريا دفع مبلغ ٨٠٠ دولار بالاضافة الى ٥٠ دولار تحاليل كورونا ومن ثم يتم ترحيل الشخص لبلده	اعلان 1 استنادا الى مقررات مجلس الوزراء بتاريخ 31 3 2020 المتعلقة بعودة المغتربين اللبنانيين من الخارج سيصار الى فتح الحدود البرية مع سوريا عبر مركزي المصنع والعبودية الحدوديين بتاريخي 14 7 2020 و 16 7 2020	other	False
8	1530887619357331458	1530889372903645185	"الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء !!

والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا https://t.co/l4rgNpCaTo"	الأهلي لم يتلق أي مكاتبات من الإتحاد الإفريقي لكرة القدم بخصوص توقف او احتمالية توقف ال VAR  اثناء نهائي دوري الأبطال غداً. بل و اكد مسئولو الكاف في الإجتماع الفني للمباراة و الذي انتهي منذ دقائق لممثلي النادي الأهلي في ذات الإجتماع علي إقامة المباراة بوجود تقنية الVAR دون توقف. https://t.co/k03AoiaDyJ	الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا	الأهلي لم يتلق أي مكاتبات من الإتحاد الإفريقي لكرة القدم بخصوص توقف او احتمالية توقف ال اثناء نهائي دوري الأبطال غدا بل و اكد مسئولو الكاف في الإجتماع الفني للمباراة و الذي انتهي منذ دقائق لممثلي النادي الأهلي في ذات الإجتماع علي إقامة المباراة بوجود تقنية ال دون توقف	disagree	False
9	1530887619357331458	1530229963437350914	"الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء !!

والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا https://t.co/l4rgNpCaTo"	"🔴 الأهلي يدعو الجماهير المصرية في المغرب لحضور النهائي الإفريقي 🦅✌️
#افريقيا_يا_اهلي https://t.co/PueZi2vZq7"	الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا	الأهلي يدعو الجماهير المصرية في المغرب لحضور النهائي الإفريقي افريقيا يا اهلي	other	False
10	1530887619357331458	1530284310061883393	"الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء !!

والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا https://t.co/l4rgNpCaTo"	"الكابتن الخطيب يشكر مشجع الأهلي القادم من النرويج ويهديه تذكرة المباراة. 🦅❤️✈️

#افريقيا_يا_أهلي https://t.co/ipNE98OYIc"	الكاف يخطر الأهلي بأنه في حال تعطل تقنية الفيديو لن يتم ايقاف اللقاء والله مش لاقيه سبب يخلينا نكمل الماتش دا ومننسحبش فعلا	الكابتن الخطيب يشكر مشجع الأهلي القادم من النرويج ويهديه تذكرة المباراة افريقيا يا أهلي	other	False
